roads,0,0,0
greens,0,255,0
wat,92,0,184
chinese-temple,255,0,255
temple,255,0,255
paths,220,220,220
path-1,220,220,220
path-2,220,220,220
path-3,220,220,220
path-4,220,220,220
orphanage,255,127,0
institute,255,0,0
catholic-church,184,0,46
church,184,0,46
cemetery,128,128,128
home,255,255,0
school,184,138,0
shop-house,0,0,255
shop,0,0,255
square,255,191,127
squares,255,191,127
pavements,191,126,255
port,221,110,110
river,0,255,255
