id;the_geom;LAYER;SHAPENAME;BASE
1979-all-3d.11;MULTIPOLYGON (((-182.99533428356833 -130.45381408465133, -137.5999499582211 -134.92836203252065, -138.7271360229863 -148.68816571699168, -184.12252034766053 -144.2136177670579, -182.99533428356833 -130.45381408465133)));2016-wat;0;
1979-all-3d.12;MULTIPOLYGON (((-84.22049504161298 -94.08897681721517, 3.682292267062869 -104.57807825356127, 8.956837920080865 -60.59087988869443, 50.493332622957915 -65.53724985382897, 52.495525281088 -140.8583153658984, 52.48671798076724 -141.62064821982008, 52.43593794763341 -142.2458206818683, 52.33874182346754 -142.90746394677493, 52.21236378373019 -143.50136473834348, 52.043115158862825 -144.10916290640156, 51.851026886610754 -144.6653204482739, 51.632005536499655 -145.19703177184098, 51.34252108139183 -145.79235418989677, 50.96806398554064 -146.44155245977473, 50.383773107797104 -147.27475336648135, 49.82034386913131 -147.9357054081543, 49.50939371930153 -148.25532376371868, 49.11845689872523 -148.61961044597834, 48.7484738096978 -148.93075652436826, 48.255533755031415 -149.30102056499808, 47.83558153358115 -149.5810810671853, 47.34064141200087 -149.8738457192783, 46.88570016561652 -150.11055229331114, 46.33053830514903 -150.3609114603657, 45.79091456531105 -150.56669422400452, 45.113534359122795 -150.7762187676564, 44.554493794060974 -150.91052188698657, 44.071235450244785 -150.9996819562065, 43.53770333153932 -151.0699569444043, 42.9029396878416 -151.11588316350756, 42.533014904375186 -151.1239849149621, 42.06239422729902 -151.11450433161505, -85.61733023285147 -151.61429419439278, -84.22049504161298 -94.08897681721517)));void;0;
1979-all-3d.13;MULTIPOLYGON (((-147.72177761875383 -59.35913747556836, -148.89007643856164 -70.39453162384851, -185.97588027347814 -66.73904527944569, -184.80758145302963 -55.703651131535445, -147.72177761875383 -59.35913747556836)));2016-wat;0;
1979-all-3d.14;MULTIPOLYGON (((53.65079342960799 182.8160285700827, 57.459604276467985 39.53127013739885, 61.43003885173334 -109.83365818305194, 62.27794259836378 -141.73119480123975, 60.141089468855085 -150.57535188628142, 56.57696945040154 -154.36835514833845, -40.4234999229595 -155.17220517805023, -85.9551428477728 -155.33406994382588, -191.76290060613326 -154.5696642646911, -198.15920147416097 -153.1270069374422, -203.82792319932753 -147.69439682772523, -205.5160431852576 -140.6966242327155, -203.88075000358495 -54.58550189777022, -222.64464989713537 241.6650542887787, 53.65079342960799 182.8160285700827)));boundary;0;
1979-all-3d.15;MULTIPOLYGON (((-39.86182317544525 50.445283657990544, -168.0860676861099 78.76890639500226, -148.118305833642 169.16522333691344, -20.37070018235166 141.9558635282692, -39.86182317544525 50.445283657990544)));base1979-cemetary;0;
1979-all-3d.16;MULTIPOLYGON (((-6.283043272510774 -125.79620837983985, -6.30647995128696 -125.83299659676857, -6.333033753289733 -125.86760218519133, -6.362502583511038 -125.8997617692032, -6.394662169848189 -125.92923060186976, -6.4292677555085245 -125.95578440005414, -6.4660559746176585 -125.97922108164795, -6.504746843524659 -125.99936227247211, -6.5450459021495195 -126.01605468975627, -6.5866464506122 -126.02917129153928, -6.62923188536487 -126.0386122566021, -6.672478102637916 -126.04430572929809, -6.716055974246489 -126.04620837951559, -6.759633845159712 -126.04430572767157, -6.802880062450927 -126.03861225534895, -6.845465496508802 -126.02917129309218, -6.887066046308096 -126.0160546909138, -6.92736510460731 -125.99936227318022, -6.966055974163821 -125.97922108220264, -7.002844192217513 -125.9557844016905, -7.037449778143027 -125.92923059970649, -7.0696093646191365 -125.89976176986262, -7.099078195617464 -125.8676021853034, -7.125631995814005 -125.83299659716037, -7.149068676611716 -125.79620838040557, -7.169209867650209 -125.75751750981415, -7.1859022843689075 -125.71721845151363, -7.199018887838837 -125.67561790218603, -7.208459851176109 -125.63303246986618, -7.2141533230648855 -125.58978625029296, -7.2160559749105975 -125.5462083801849, -7.214153323331313 -125.50263050763239, -7.208459850649209 -125.45938428998961, -7.199018887269112 -125.41679885671427, -7.185902283708886 -125.37519830698018, -7.169209868062837 -125.33489924858593, -7.149068676507667 -125.29620838040806, -7.125631996297421 -125.25942016103667, -7.09907819552146 -125.22481457435858, -7.0696093651162215 -125.19265498881758, -7.037449778825788 -125.16318615775937, -7.0028441933270935 -125.13663235784632, -6.966055974181779 -125.11319567627342, -6.927365105293292 -125.09305448543856, -6.887066045963508 -125.07636206856138, -6.845465498185037 -125.06324546720101, -6.802880063810534 -125.05380450355518, -6.759633846387107 -125.04811103094603, -6.716055975261726 -125.04620837963189, -6.672478102614604 -125.04811102838866, -6.629231886224068 -125.05380450427958, -6.5866464519721735 -125.06324546664837, -6.5450459028584245 -125.0763620692486, -6.504746844040535 -125.09305448646397, -6.466055973793791 -125.11319567620474, -6.429267756466077 -125.13663235793307, -6.394662169461165 -125.16318615645197, -6.3625025838771005 -125.19265498905146, -6.333033752684633 -125.22481457372278, -6.306479951411719 -125.25942016003425, -6.2830432713583 -125.29620837799463, -6.262902081156815 -125.33489924810284, -6.246209664140052 -125.37519830821077, -6.2330930608414885 -125.41679885662178, -6.223652097332629 -125.45938428985836, -6.21795862538765 -125.50263050701103, -6.2160559746223765 -125.54620837894828, -6.21795862581123 -125.58978625090853, -6.22365209850741 -125.6330324685432, -6.233093061225976 -125.67561790220047, -6.246209664454712 -125.71721845212593, -6.262902080412822 -125.7575175087047, -6.283043272510774 -125.79620837983985)));attractors;0;
1979-all-3d.17;MULTIPOLYGON (((17.987360459124965 -104.1197944727499, 18.483838345244088 -104.17903726809277, 18.424595549223 -104.67551515432652, 17.92811766319948 -104.6162723590389, 17.987360459124965 -104.1197944727499)));2016-chinese-temple;0;
1979-all-3d.18;MULTIPOLYGON (((-11.499676659798867 9.861971473897235, -20.34172297814137 11.540726040693093, -15.920699818710757 10.701348757963084, -11.499676659798867 9.861971473897235)));2016-catholic-church;0;
1979-all-3d.19;MULTIPOLYGON (((-109.82577878297923 -20.772155842432834, -32.336997276405484 -35.94245534600266, -35.02666388112742 -49.68107585173422, -112.50677884967726 -34.466508304987734, -109.82577878297923 -20.772155842432834)));2016-orphanage;0;
1979-all-3d.20;MULTIPOLYGON (((-146.2799805024382 -66.20314312799484, -145.87125101355693 -61.21369399611031, -136.1233580498048 -62.17452768133086, -136.5320875398614 -67.1639768141721, -146.2799805024382 -66.20314312799484)));2016-wat;0;
